Number,Name,link,cmp,PE,MarCap,DivYld,NpQtr,QtrProfitVar,SalesQtr,QtrSalesVar,ROCE,oneYRetun
57.,Apollo Micro Sys,/company/APOLLO/,97.65,102.11,2755.82,0.03,10.11,27.81,91.34,10.92,12.07,257.56
58.,C P C L,/company/CHENNPETRO/,868.20,4.15,12892.70,3.11,359.99,151.83,17375.90,8.23,45.54,256.26
59.,Swelect Energy,/company/SWELECTES/consolidated/,973.10,55.44,1480.05,0.12,8.22,268.07,63.54,147.91,4.41,256.19
60.,Jupiter Wagons,/company/JWL/,339.00,51.80,13952.36,0.15,83.40,79.82,895.84,39.01,24.35,256.09
61.,Titagarh Rail,/company/TITAGARH/consolidated/,845.50,44.65,11399.35,0.06,74.82,135.78,954.68,24.57,17.58,255.48
62.,Action Const.Eq.,/company/ACE/consolidated/,1281.10,55.02,15232.45,0.08,88.24,89.80,753.11,35.37,26.17,254.48
63.,Tata Inv.Corpn.,/company/TATAINVEST/consolidated/,6813.65,100.50,34517.66,0.70,53.24,54.18,50.55,34.23,1.42,252.34
64.,Quick Heal Tech,/company/QUICKHEAL/consolidated/,491.50,737.68,2626.13,0.51,10.06,208.29,81.92,22.63,0.17,249.95
65.,Gallantt Ispat L,/company/GALLANTT/,195.90,24.01,4750.07,0.00,51.98,148.59,1062.66,5.61,10.21,243.68
,,,,,,,,,,,,
66.,Vertoz Advertis.,/company/VERTOZ/consolidated/,723.85,81.04,1300.76,0.00,4.51,40.94,55.23,155.93,19.05,239.84
67.,Railtel Corpn.,/company/RAILTEL/,346.80,51.24,11133.29,0.74,62.14,94.49,668.36,47.11,16.03,239.33
68.,Prem. Explosives,/company/PREMEXPLN/,1379.20,62.31,1484.75,0.12,1.67,187.93,44.56,19.46,6.72,235.94
69.,Shakti Pumps,/company/SHAKTIPUMP/consolidated/,1373.70,46.43,2521.13,0.15,45.19,301.69,495.62,57.73,10.36,234.31
70.,The Anup Enginee,/company/ANUP/,3272.20,39.35,3231.14,0.46,20.17,45.32,128.40,12.22,18.14,230.81
71.,Dr Agarwal's Eye,/company/526783/,3090.45,30.74,1452.51,0.10,9.44,86.56,75.67,19.09,18.60,230.51
72.,Jubilant Inds.,/company/JUBLINDS/consolidated/,1276.50,30.48,1930.06,0.00,-22.98,255.56,292.51,-15.92,27.26,227.81
73.,Wockhardt,/company/WOCKPHARMA/consolidated/,551.40,,7921.31,0.00,-86.00,10.98,701.00,0.29,-0.46,226.56
74.,Shriram Pistons,/company/SHRIPISTON/consolidated/,1720.60,18.36,7579.22,0.29,107.77,43.41,765.74,20.40,24.72,224.64
75.,Tips Industries,/company/TIPSINDLTD/,482.25,51.78,6199.30,1.24,34.65,71.62,64.83,27.17,88.63,224.31
,,,,,,,,,,,,
76.,PTC Industries,/company/PTCIL/consolidated/,7716.25,285.11,10463.39,0.00,8.08,32.68,55.45,-2.62,12.18,221.58
77.,MSTC,/company/MSTCLTD/consolidated/,823.95,24.92,5802.33,1.82,49.97,6.23,184.98,9.53,37.92,220.48
78.,Newgen Software,/company/NEWGEN/,711.20,46.88,9961.13,0.35,65.29,42.59,298.88,27.24,23.95,220.22
79.,NBCC,/company/NBCC/,109.35,48.52,19691.83,0.49,93.67,36.62,1918.61,20.92,26.40,219.74
80.,Ashapura Minech.,/company/ASHAPURMIN/consolidated/,318.80,13.29,2920.93,0.00,54.19,-5.68,713.10,33.27,16.32,216.58
81.,Volt.Transform.,/company/VOLTAMP/,8201.85,28.57,8297.76,0.49,94.61,86.39,408.48,14.27,25.07,215.01
82.,Arvind Ltd,/company/ARVIND/consolidated/,259.95,21.20,6804.85,1.44,94.32,15.69,1888.24,-4.62,12.60,213.57
83.,JBM Auto,/company/JBMA/consolidated/,1896.80,148.43,22435.09,0.07,52.06,41.74,1346.17,41.25,11.75,210.80
84.,Garware Hi Tech,/company/GRWRHITECH/consolidated/,1678.35,20.76,3913.91,0.60,55.88,83.82,453.62,39.85,11.86,210.49
85.,Kalyan Jewellers,/company/KALYANKJIL/consolidated/,366.80,68.63,37777.28,0.14,180.37,21.51,5223.08,34.47,12.69,209.54
86.,F A C T,/company/FACT/,639.95,94.90,41380.34,0.16,30.32,-81.71,1097.33,-36.27,30.34,204.38
87.,Power Fin.Corpn.,/company/PFC/consolidated/,362.55,6.36,119693.08,3.03,6294.44,22.46,23571.83,20.02,9.08,200.42
88.,Valor Estate,/company/DBREALTY/consolidated/,204.35,8.51,10284.79,0.00,462.64,176.93,142.80,-77.07,-11.66,199.19
89.,Talbros Auto.,/company/TALBROAUTO/consolidated/,245.30,19.67,1516.27,0.24,22.75,65.57,198.74,25.36,19.21,198.75
90.,Tata Motors-DVR,/company/TATAMTRDVR/,630.65,,32086.18,0.33,1251.40,372.94,7769.67,-26.91,,198.32
,,,,,,,,,,,,
91.,Sanghvi Movers,/company/SANGHVIMOV/,1022.60,25.37,4418.23,0.39,61.28,76.35,167.04,36.38,15.25,197.44
92.,Zomato Ltd,/company/ZOMATO/consolidated/,157.95,,139352.52,0.00,138.00,139.82,3288.00,68.77,-5.79,194.96
93.,B H E L,/company/BHEL/consolidated/,218.80,,76221.53,0.18,-148.77,-451.87,5503.81,4.57,3.33,194.68
94.,Trent,/company/TRENT/consolidated/,3955.65,173.15,140663.31,0.06,370.64,139.42,3466.62,50.50,11.50,194.22
95.,Zen Technologies,/company/ZENTEC/,900.95,66.80,7575.34,0.02,31.67,414.12,98.08,197.84,17.28,193.42
96.,Electronics Mart,/company/EMIL/consolidated/,193.05,41.58,7463.70,0.00,45.77,109.00,1788.71,20.72,12.00,192.06
97.,Gensol Engineer.,/company/GENSOL/,839.25,58.71,3175.30,0.00,17.54,1739.25,201.04,337.52,12.38,190.93
98.,ITD Cem,/company/ITDCEM/consolidated/,297.20,23.00,5103.86,0.25,78.60,114.65,2017.16,52.01,18.82,189.39
99.,Centum Electron,/company/CENTUM/consolidated/,1623.75,69.85,2090.53,0.25,7.25,174.97,298.19,51.27,7.65,188.21
100.,Refex Industries,/company/REFEX/,676.75,12.94,1498.52,0.30,19.78,-24.15,301.51,-20.74,48.04,186.52
,,,,,,,,,,,,
101.,JK Tyre & Indust,/company/JKTYRE/consolidated/,411.00,14.89,10729.47,0.49,227.07,201.79,3687.72,2.07,11.13,185.02
102.,Mazagon Dock,/company/MAZDOCK/,1867.75,24.96,37669.64,0.85,591.54,75.40,2362.47,30.10,38.25,184.24
103.,Magellanic Cloud,/company/538891/consolidated/,458.25,65.70,5355.98,0.03,22.56,30.03,131.38,-1.04,31.16,183.99
104.,Strides Pharma,/company/STAR/consolidated/,768.95,,7077.26,0.20,54.06,115.72,1037.67,19.98,-0.23,183.01
105.,Inox Green,/company/INOXGREEN/consolidated/,117.10,575.95,3436.72,0.00,-1.35,-91.02,59.96,-16.27,0.79,182.51
106.,ITI,/company/ITI/,251.75,,24190.33,0.00,-101.69,-16.35,258.84,0.97,-3.60,182.07
107.,Prakash Industri,/company/PRAKASH/,142.80,8.06,2557.28,0.00,80.56,77.95,885.07,16.34,7.87,179.45
108.,Guj. Themis Bio.,/company/506879/,370.15,48.92,2688.90,0.29,13.01,32.62,38.86,37.95,61.14,178.85
109.,Jindal Saw,/company/JINDALSAW/consolidated/,409.75,9.31,13084.67,0.73,511.68,257.24,5655.79,9.65,11.04,178.46
110.,Kesoram Inds.,/company/KESORAMIND/consolidated/,159.65,,4949.40,0.00,-48.86,-139.06,960.65,-2.58,9.86,177.65
111.,Kaynes Tech,/company/KAYNES/consolidated/,2613.05,116.47,16705.65,0.00,45.19,97.60,509.29,76.17,21.54,177.42
112.,Olectra Greentec,/company/OLECTRA/consolidated/,1709.65,155.59,14024.75,0.02,27.12,87.69,342.14,33.42,13.29,176.64
113.,J & K Bank,/company/J&KBANK/consolidated/,131.90,9.02,14519.08,0.38,422.77,37.64,2881.20,18.04,4.92,176.23
114.,eMudhra,/company/EMUDHRA/consolidated/,602.85,71.53,4989.81,0.21,20.01,31.56,97.38,59.01,23.96,172.84
115.,Kalyani Steels,/company/KSL/,839.00,14.40,3666.17,1.19,65.33,67.17,479.76,7.44,13.29,172.76
,,,,,,,,,,,,
116.,Black Box,/company/BBOX/consolidated/,233.80,23.70,3931.85,0.00,40.87,271.70,1655.47,-0.97,20.34,172.65
117.,Adani Power,/company/ADANIPOWER/consolidated/,518.20,8.56,199809.96,0.00,2737.96,31119.61,12991.44,67.32,15.80,172.45
118.,SMS Pharma.,/company/SMSPHARMA/,179.45,36.44,1514.62,0.17,12.17,141.95,161.48,8.52,3.66,172.31
119.,Indo Count Inds.,/company/ICIL/consolidated/,319.90,18.63,6347.55,0.63,58.06,53.96,713.42,8.54,15.07,171.91
120.,Pearl Global Ind,/company/PGIL/consolidated/,559.35,15.69,2449.65,1.56,33.82,-3.31,703.98,-1.82,19.24,171.60
121.,DCM Shriram Inds,/company/DCMSRIND/consolidated/,177.40,14.23,1540.19,0.56,29.05,156.63,468.30,-18.46,10.05,169.81
122.,Kirl. Brothers,/company/KIRLOSBROS/consolidated/,1005.25,27.38,7976.73,0.45,82.40,-12.22,964.80,0.76,21.71,169.79
123.,Hindustan Copper,/company/HINDCOPPER/,260.55,83.59,25346.43,0.35,63.00,-21.45,399.29,-28.32,18.04,167.92
124.,Man Infra,/company/MANINFRA/consolidated/,197.05,23.45,7321.21,0.82,86.51,-2.05,241.76,-47.08,31.99,167.91
125.,Hercules Hoists,/company/HERCULES/,526.60,55.90,1679.87,0.38,10.38,17.16,39.94,11.85,4.57,167.79
,,,,,,,,,,,,
126.,Time Technoplast,/company/TIMETECHNO/consolidated/,193.85,15.61,4395.73,0.64,93.11,49.55,1324.65,17.37,13.08,165.55
127.,D.P. Abhushan,/company/DPABHUSHAN/,825.70,36.65,1837.59,0.12,16.71,-14.57,765.46,13.94,23.98,164.44
128.,NLC India,/company/NLCINDIA/consolidated/,207.40,11.18,28779.21,1.69,254.10,163.69,3164.40,-13.99,13.47,164.37
129.,Birlasoft Ltd,/company/BSOFT/consolidated/,720.95,35.79,19893.71,0.49,161.06,1084.47,1342.95,9.91,17.18,164.08
130.,Ksolves India,/company/KSOLVES/,1177.55,44.09,1403.36,2.00,8.84,44.21,28.15,38.81,171.27,163.49
131.,Apar Inds.,/company/APARINDS/consolidated/,6046.45,29.27,24342.57,0.66,217.57,28.06,4013.16,1.88,51.14,163.47
132.,Genus Power,/company/GENUSPOWER/consolidated/,224.40,113.51,5792.21,0.33,-9.92,-145.53,258.28,28.88,5.77,163.07
133.,Banco Products,/company/BANCOINDIA/consolidated/,587.60,16.54,4204.89,3.74,68.32,-30.45,570.64,12.09,25.83,162.50
134.,SML ISUZU,/company/SMLISUZU/,1785.95,31.36,2582.80,0.00,2.68,2161.54,386.13,17.81,9.39,162.37
135.,Pitti Engg.,/company/PITTIENG/,703.70,30.24,2258.02,0.38,13.32,9.81,293.64,23.40,18.19,162.09
136.,Motil.Oswal.Fin.,/company/MOTILALOFS/consolidated/,1497.80,11.86,22333.57,0.93,661.24,191.40,1784.31,65.90,12.94,161.28
137.,Responsive Ind,/company/RESPONIND/consolidated/,300.85,58.49,7976.98,0.03,44.71,165.81,267.27,1.27,4.51,159.35
138.,D B Corp,/company/DBCORP/consolidated/,253.30,13.18,4533.45,2.37,123.98,156.79,644.71,13.94,11.82,158.87
139.,Swan Energy,/company/SWANENERGY/consolidated/,580.20,65.51,18159.35,0.02,219.99,833.18,1591.68,1474.36,2.19,158.56
140.,GMR Urban,/company/GMRP&UI/consolidated/,44.05,,2657.11,0.00,43.16,5.00,1102.79,-23.81,19.00,158.36
,,,,,,,,,,,,
141.,Intellect Design,/company/INTELLECT/consolidated/,1052.65,42.48,14395.30,0.24,84.88,35.92,634.35,15.99,18.80,158.22
142.,Parag Milk Foods,/company/PARAGMILK/consolidated/,194.75,22.09,2278.35,0.00,34.17,269.01,800.84,8.83,8.72,157.78
143.,DDev Plastiks,/company/543547/,182.20,11.19,1885.34,0.55,40.07,75.90,553.54,-15.45,32.38,156.95
144.,Welspun Corp,/company/WELCORP/consolidated/,500.85,12.18,13123.39,1.00,293.70,1156.93,4749.71,97.71,6.42,156.71
145.,Oracle Fin.Serv.,/company/OFSS/consolidated/,8274.75,33.55,71749.88,2.72,740.81,69.39,1823.62,25.83,35.11,156.29
146.,Monarch Networth,/company/MONARCH/consolidated/,521.00,18.09,1757.48,0.19,38.56,175.23,75.81,59.50,31.19,155.89
147.,Skipper,/company/SKIPPER/,239.65,36.15,2589.93,0.04,17.78,150.07,801.58,80.19,11.87,155.79
148.,Arvind SmartSp.,/company/ARVSMART/consolidated/,578.90,74.28,2628.16,0.29,11.65,121.18,84.30,60.17,9.21,155.42
149.,Dynamatic Tech.,/company/DYNAMATECH/consolidated/,6652.10,67.65,4494.49,0.15,11.24,60.11,345.51,10.31,10.39,155.07
150.,Anant Raj,/company/ANANTRAJ/consolidated/,289.05,42.73,9831.36,0.17,71.43,58.17,392.27,47.59,5.77,154.56
,,,,,,,,,,,,
151.,Jindal Drilling,/company/JINDRILL/,625.30,18.12,1815.87,0.08,31.12,21.85,183.06,32.42,13.10,154.29
152.,I O B,/company/IOB/,57.75,43.69,109124.44,0.00,722.58,30.15,6175.51,22.15,4.53,152.74
153.,G M D C,/company/GMDCLTD/consolidated/,342.70,12.63,10890.10,3.34,116.83,-56.10,564.27,-34.04,31.31,152.54
154.,Global Health,/company/MEDANTA/consolidated/,1210.35,71.91,32487.09,0.00,123.54,53.26,832.60,19.92,17.09,152.47
155.,Thomas Cook (I),/company/THOMASCOOK/consolidated/,147.20,35.80,6922.21,0.27,90.53,344.63,1893.10,23.22,5.23,151.84
156.,Salasar Techno,/company/SALASAR/consolidated/,21.45,66.29,3387.45,0.09,16.76,56.78,303.88,26.20,14.30,150.88
157.,Macrotech Devel.,/company/LODHA/consolidated/,1081.40,61.95,105891.46,0.09,505.20,44.50,2930.60,65.22,8.76,150.85
158.,Orchid Pharma,/company/ORCHPHARMA/consolidated/,984.10,58.83,5019.85,0.00,29.43,287.75,220.59,38.08,4.97,150.79
159.,Bharat Wire,/company/BHARATWIRE/,274.00,20.60,1864.35,0.00,26.37,39.60,157.20,8.95,16.25,150.46
160.,Ethos Ltd,/company/ETHOSLTD/,2516.55,81.72,6157.13,0.00,25.84,25.62,281.20,22.43,17.43,149.97
161.,Shaily Engineer.,/company/SHAILY/consolidated/,484.05,46.42,2222.67,0.00,14.52,156.08,158.44,16.28,11.37,149.83
162.,Infibeam Avenues,/company/INFIBEAM/consolidated/,36.30,69.39,10071.89,0.14,40.80,15.32,911.96,119.91,5.53,148.63
163.,General Insuranc,/company/GICRE/,326.55,8.93,57341.42,2.20,1517.96,26.60,10851.30,-3.53,20.59,148.42
164.,Mangalam Cement,/company/MANGLMCEM/,635.75,29.99,1740.35,0.24,15.95,2909.43,439.43,2.38,7.79,148.34
165.,Mah. Seamless,/company/MAHSEAMLES/consolidated/,853.80,10.36,11430.38,0.59,276.16,72.93,1431.13,6.92,19.82,148.27
,,,,,,,,,,,,
166.,Punjab Natl.Bank,/company/PNB/consolidated/,116.55,16.81,128279.94,0.56,2441.23,243.48,27851.71,22.11,4.10,147.98
167.,EIH,/company/EIHOTEL/consolidated/,398.55,45.44,24890.10,0.28,229.94,61.63,741.26,26.41,15.61,146.86
168.,J Kumar Infra,/company/JKIL/,588.00,14.70,4451.36,0.60,82.64,16.26,1218.73,14.72,17.36,145.67
169.,Lloyds Engineeri,/company/LLOYDSENGG/,45.30,79.71,5191.83,0.22,27.08,111.89,201.44,244.87,29.20,145.26
170.,Ajmera Realty,/company/AJMERA/consolidated/,681.90,27.37,2418.00,0.44,29.95,181.48,206.77,161.50,7.48,145.02
171.,Welspun Enterp,/company/WELENT/consolidated/,307.25,12.12,4252.77,0.33,79.92,54.68,706.71,2.07,9.99,144.33
172.,Bombay Dyeing,/company/BOMDYEING/,149.80,,3096.91,0.00,3053.92,27.19,369.22,-43.37,1.04,144.17
173.,Lupin,/company/LUPIN/consolidated/,1570.20,39.97,71589.09,0.25,618.70,299.50,5197.41,20.25,5.73,142.91
174.,Artemis Medicare,/company/ARTEMISMED/,162.95,48.74,2223.42,0.28,11.51,6.67,210.26,15.91,11.45,142.30
175.,Tour. Fin. Corp.,/company/TFCILTD/,167.10,15.72,1502.86,1.44,27.59,50.11,67.27,31.90,9.46,141.82
,,,,,,,,,,,,
176.,PTC India Fin,/company/PFS/,33.10,11.54,2115.87,3.02,50.37,39.22,204.32,5.15,7.84,141.61
177.,Puravankara,/company/PURVA/consolidated/,185.00,58.16,4384.82,3.41,77.79,245.27,573.70,46.18,7.30,141.36
178.,Prestige Estates,/company/PRESTIGE/consolidated/,992.60,23.52,39829.15,0.15,164.70,-9.00,1795.80,-22.49,10.31,140.66
179.,Central Bank,/company/CENTRALBK/consolidated/,57.20,20.35,49705.96,0.00,737.88,55.12,7841.91,16.24,4.29,140.34
180.,Paisalo Digital,/company/PAISALO/consolidated/,134.00,36.18,5999.02,0.04,56.46,102.44,182.59,49.33,11.38,140.14
181.,Engineers India,/company/ENGINERSIN/consolidated/,180.00,19.48,10127.70,1.67,63.35,292.99,867.64,3.02,23.69,139.68
182.,IFGL Refractori.,/company/IFGLEXPOR/consolidated/,513.15,18.81,1853.51,1.36,1.52,-90.37,366.18,15.89,10.11,139.34
183.,Dixon Technolog.,/company/DIXON/consolidated/,6946.65,118.01,41488.91,0.04,97.07,85.85,4818.25,100.37,24.18,138.49
184.,Torrent Power,/company/TORNTPOWER/consolidated/,1264.00,32.83,60811.27,1.03,374.13,-47.44,6366.09,-1.19,18.30,138.47
185.,Bank of Maha,/company/MAHABANK/consolidated/,58.65,11.29,41560.53,2.22,1038.40,33.67,5171.50,25.20,4.44,138.41
186.,John Cockerill,/company/500147/,3434.95,53.99,1696.87,0.15,10.32,-9.31,253.90,20.35,11.08,137.94
187.,Sobha,/company/SOBHA/consolidated/,1256.50,131.54,11925.80,0.24,15.08,-52.59,684.93,-21.11,8.32,137.03
188.,KDDL Ltd,/company/KDDL/consolidated/,2470.75,33.28,3104.12,2.35,37.11,13.36,372.20,18.99,18.14,137.01
189.,Ramkrishna Forg.,/company/RKFORGE/consolidated/,637.95,36.54,11549.20,0.31,86.86,42.30,1057.79,36.05,18.53,136.80
190.,Union Bank (I),/company/UNIONBANK/consolidated/,149.15,8.57,113818.10,2.01,3625.39,60.16,25520.92,21.72,5.02,134.88
,,,,,,,,,,,,
191.,Sigachi Indust.,/company/SIGACHI/consolidated/,57.45,37.60,1858.37,0.17,16.10,63.95,110.95,61.15,19.60,134.68
192.,Venus Pipes,/company/VENUSPIPES/,1703.05,46.56,3463.43,0.06,23.28,106.38,207.13,52.18,22.94,134.53
193.,63 Moons Tech.,/company/63MOONS/consolidated/,389.20,9.06,1787.62,0.51,89.41,355.71,160.73,72.38,1.99,133.19
194.,Tata Motors,/company/TATAMOTORS/consolidated/,957.75,17.40,350604.58,0.21,7145.43,139.98,110577.14,24.96,5.95,133.17
195.,Astra Microwave,/company/ASTRAMICRO/consolidated/,550.80,65.30,5235.66,0.29,43.38,56.72,231.02,4.87,17.09,133.09
196.,Sandur Manganese,/company/SANDUMA/,363.45,23.45,5855.06,0.23,9.61,-76.70,153.02,-60.55,18.42,132.97
197.,Jindal Stain.,/company/JSL/consolidated/,667.40,19.41,54960.11,0.22,691.22,38.94,9127.45,0.72,20.77,132.62
198.,PC Jeweller,/company/PCJEWELLER/consolidated/,58.90,,2744.77,0.00,-197.98,-223.92,40.06,-95.31,5.33,132.35
199.,Hind.Construct.,/company/HCC/consolidated/,32.30,31.88,5427.10,0.00,182.30,127.18,1474.47,8.61,16.59,132.04
200.,Gabriel India,/company/GABRIEL/,324.30,27.98,4649.21,0.79,42.96,47.53,813.81,14.46,21.95,131.89
,,,,,,,,,,,,
201.,BEML Ltd,/company/BEML/consolidated/,2780.30,63.43,11586.23,0.36,48.20,-27.30,1046.97,0.96,10.48,131.70
202.,Heritage Foods,/company/HERITGFOOD/consolidated/,325.80,36.02,3024.69,0.77,26.90,95.92,941.10,19.73,10.55,131.47
203.,Hind.Aeronautics,/company/HAL/,3058.90,33.30,204624.02,0.90,1253.51,8.62,6060.91,6.97,30.58,131.31
